location_id,business_date,bill_number,dupe_count,kept_id,all_ids
2412,2026-03-29,41031,2,49100693,49100693|49109954
2250,2026-03-29,72909,2,49124174,49124174|49124175
2932,2026-03-29,3517,2,49116677,49116677|49116678
2557,2026-03-29,18626,2,49079330,49079330|49079507
2222,2026-03-29,55707,2,49066310,49066310|49078817
2342,2026-03-29,28645,2,49101048,49101048|49101049
2219,2026-03-28,60075,2,49024763,49024763|49024834
2222,2026-03-28,55441,2,48964472,48964472|48971468
2340,2026-03-28,32494,2,48991946,48991946|48992384
2340,2026-03-28,32508,2,48994444,48994444|48998398
2340,2026-03-28,32601,2,49018295,49018295|49029887
2932,2026-03-28,3327,2,49032944,49032944|49032945
2932,2026-03-28,3249,2,49003497,49003497|49003564
2341,2026-03-28,24671,2,49028891,49028891|49028952
2548,2026-03-28,26856,2,48969359,48969359|48972623
2548,2026-03-28,27063,2,49031434,49031434|49032589
2342,2026-03-28,28270,2,48980982,48980982|48983110
2311,2026-03-28,34002,2,49012843,49012843|49022108
2216,2026-03-28,43550,2,48974917,48974917|48975783
2219,2026-03-28,59873,2,48973043,48973043|48973044
